id;date;check_in;check_out;over_time;user
1;2023-05-03;2023-05-04T04:58:26;2023-05-03T22:50:20;2023-05-03T20:46:14;Jewelery Chicken grey
2;2023-05-04;2023-05-04T08:16:53;2023-05-03T16:06:19;2023-05-03T21:17:05;Dollar collaborative Frozen
3;2023-05-03;2023-05-04T03:11:17;2023-05-04T01:36:51;2023-05-04T05:55:56;Response
4;2023-05-04;2023-05-04T02:22:49;2023-05-04T01:14:00;2023-05-03T21:45:56;archive Account Handmade
5;2023-05-04;2023-05-03T09:24:00;2023-05-04T03:26:52;2023-05-03T09:54:08;Nakfa Fantastic
6;2023-05-04;2023-05-03T17:03:01;2023-05-03T17:01:51;2023-05-04T08:16:32;initiatives People's Directives
7;2023-05-03;2023-05-04T00:39:12;2023-05-03T22:55:51;2023-05-03T11:41:48;brand next-generation
8;2023-05-04;2023-05-03T17:41:38;2023-05-03T13:35:03;2023-05-03T11:41:50;Games
9;2023-05-04;2023-05-03T23:47:01;2023-05-03T09:19:11;2023-05-04T04:38:38;Manager Convertible
10;2023-05-04;2023-05-03T11:33:01;2023-05-04T04:53:34;2023-05-04T06:15:29;Rustic Proactive bypassing
